type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	37.221972018	-79.664603141	308.8			
T	37.197640443	-79.666823300	289.0			
T	37.175380106	-79.667553260	276.4			
T	37.155113863	-79.670424590	241.1			
T	37.138418555	-79.670395934	255.0			
T	37.126890129	-79.671474901	268.9			
T	37.118716479	-79.671484697	240.8			
T	37.156656651	-79.638347604	274.3			
T	37.335731190	-79.575512694	301.0			
T	37.383489612	-79.564345816	278.1			
T	37.436645059	-79.555408192	377.0			
T	37.489001732	-79.549646557	962.2			
T	37.541862394	-79.545766543	768.6			
T	37.719441370	-79.554068844	740.2			
T	37.748013124	-79.558282903	347.3			
T	37.774709613	-79.562243525	431.7			
T	37.794572778	-79.565225484	433.4			
T	37.829752695	-79.586037513	628.9			
T	37.738177446	-79.617324410	414.2			
T	37.698006601	-79.625639383	494.9			
T	37.651344532	-79.631819141	735.6			
T	37.608001562	-79.641298578	535.0			
T	37.375320011	-79.671087340	482.2			
T	37.333759760	-79.676209754	299.1			
T	37.293271825	-79.679330739	287.4			
T	37.163640052	-79.688531345	250.4			
T	37.146847918	-79.688396736	241.3			
T	37.136860644	-79.687958421	272.4			
T	37.121987916	-79.681077259	244.5			
T	37.125254382	-79.674679320	270.1			
T	37.207788182	-79.621317925	263.7			
T	37.412689999	-79.567190752	338.7			
T	37.464558549	-79.561778653	530.2			
T	37.714544501	-79.574784104	434.2			
T	37.748022540	-79.584307278	428.8			
T	37.775864496	-79.590582969	426.1			
T	37.839438895	-79.627032827	790.6			
T	37.785451208	-79.670940315	625.4			
T	37.757157019	-79.680750673	890.9			
T	37.720592468	-79.691081266	683.4			
T	37.680220070	-79.700328044	569.6			
T	37.641237949	-79.708070659	705.6			
T	37.424868365	-79.732321907	383.9			
T	37.277001482	-79.737797443	309.2			
T	37.255685562	-79.736759162	325.0			
T	37.237949611	-79.736396886	274.0			
T	37.223902042	-79.735003553	293.9			
T	37.191004182	-79.718294640	241.6			
T	37.227275679	-79.676774632	306.4			
T	37.250181063	-79.663033405	335.1			
T	37.418718149	-79.599564982	601.1			
T	37.642018703	-79.578148324	401.1			
T	37.676113466	-79.579256647	580.0			
T	37.709785795	-79.580474312	444.6			
T	37.740695721	-79.583142749	356.7			
T	37.835983558	-79.602312987	552.2			
T	37.834473090	-79.630678562	736.5			
T	37.819653900	-79.639339027	812.5			
T	37.799230572	-79.646786609	868.3			
T	37.777699886	-79.656343333	703.0			
T	37.596680265	-79.701385875	493.5			
T	37.403037073	-79.737301101	332.4			
T	37.273548235	-79.765151534	300.0			
T	37.236290092	-79.771188035	286.3			
T	37.185748153	-79.778824517	276.1			
T	37.216982970	-79.753635381	291.3			
T	37.347806952	-79.703622105	458.2			
T	37.461116144	-79.686549878	388.8			
T	37.616379919	-79.688532058	798.3			
T	37.696339904	-79.709806965	644.4			
T	37.699252429	-79.723338230	883.7			
T	37.655843345	-79.753437407	464.1			
T	37.472473155	-79.798992837	330.8			
T	37.402360185	-79.811059909	550.3			
T	37.370582336	-79.817325905	368.6			
T	37.261215139	-79.835075881	298.4			
T	37.212948925	-79.842317078	266.4			
T	37.223562495	-79.832352608	291.8			
T	37.314944035	-79.784191449	580.1			
T	37.540149539	-79.733609254	252.7			
T	37.724387773	-79.724436820	588.1			
T	37.764580539	-79.735621382	675.9			
T	37.754341656	-79.737799186	472.3			
T	37.736445994	-79.740438106	389.5			
T	37.438730794	-79.764909358	510.7			
T	37.264728321	-79.768735271	316.1			
T	37.243347143	-79.769186447	272.0			
T	37.223969132	-79.768189510	308.8			
T	37.209975535	-79.766602553	275.0			
T	37.197835454	-79.765454209	241.8			
T	37.189226976	-79.763342617	260.4			
T	37.206466854	-79.714488961	290.0			
T	37.222074384	-79.701439505	305.3			
T	37.246672910	-79.684577239	320.4			
T	37.416673519	-79.605063834	546.3			
