type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	36.636284380	-78.675726947	130.2			
T	36.062632567	-78.759277009	76.5			
T	36.909631568	-78.319122636	109.7			
T	37.567007754	-78.297176611	88.9			
T	36.712102316	-78.605623294	95.6			
T	36.669327759	-78.606761830	107.2			
T	36.824465433	-78.376791407	134.6			
T	37.913453682	-78.144116603	135.2			
T	37.529590540	-78.466728143	176.6			
T	36.553253622	-78.522382440	109.4			
T	36.894615039	-78.177556203	134.2			
T	36.966269628	-78.163358182	152.0			
T	37.792947927	-78.439479229	143.8			
T	37.054062450	-78.809168554	137.5			
T	36.580797392	-78.463371486	88.6			
T	37.217289558	-78.325154289	137.2			
T	37.294744644	-78.683415851	192.9			
T	37.244097227	-78.704407697	170.6			
T	36.507772394	-78.687275441	116.9			
T	36.814662611	-78.340478253	147.4			
T	37.535466837	-78.523797790	151.4			
T	37.535400196	-78.560644129	139.9			
T	36.664507758	-78.949386570	112.9			
T	36.436489211	-78.580147463	163.0			
T	37.524814083	-78.219943940	122.8			
T	37.392159412	-78.697877210	200.4			
T	36.525660189	-78.766486002	152.6			
T	36.960914321	-78.217878959	159.6			
T	37.382166152	-78.364118889	146.4			
T	36.617651341	-78.829466013	110.0			
T	36.471806863	-78.781508201	147.1			
T	36.731784427	-78.279901961	133.6			
T	36.904618416	-78.204502800	128.1			
T	36.966173236	-78.192561829	158.1			
T	37.323998905	-78.460425388	127.8			
T	37.306691810	-78.498678597	159.4			
T	36.548408288	-78.786607860	157.1			
T	36.384125717	-78.463560171	139.4			
T	37.146275441	-78.237376688	157.0			
T	36.819042903	-78.614829279	130.6			
T	36.129870726	-78.725746548	111.5			
T	36.688591536	-78.348427834	91.3			
T	37.267630658	-78.326753926	126.2			
T	37.245124605	-78.350772245	108.5			
T	36.336639488	-78.660348499	153.3			
T	36.141782995	-78.562514802	129.5			
T	36.178193832	-78.539854715	95.0			
T	36.899527938	-78.311277654	109.5			
T	36.566993949	-78.502067490	94.5			
T	36.046590331	-78.572723274	99.4			
T	36.655541613	-78.284724694	84.8			
T	36.726983215	-78.271418212	107.6			
T	36.976028862	-78.433811772	163.6			
T	36.929772713	-78.465184298	155.6			
T	36.027453647	-78.700888634	100.1			
T	36.210834121	-78.452921270	103.1			
T	36.736143654	-78.574302073	125.8			
T	36.410041541	-78.783911388	178.7			
T	36.109770747	-78.635139831	105.0			
T	36.445322975	-78.704029523	139.5			
T	36.449641333	-79.163377888	168.1			
T	36.097794763	-79.067280787	175.6			
T	36.239785955	-78.729331101	153.5			
T	36.268963321	-78.743123503	157.6			
T	36.664155241	-79.240113933	191.6			
T	36.449398390	-79.408635578	147.6			
T	36.086115350	-78.895502570	115.8			
T	36.227230923	-78.980868925	207.1			
T	36.598587025	-79.434271256	162.9			
T	36.353714071	-79.133083602	137.1			
T	36.219055788	-78.826620484	153.9			
T	36.566455922	-79.416346680	176.1			
T	36.557092690	-79.638619130	200.0			
