type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	37.112554935	-80.761240081	636.8						
T	37.059201218	-80.781517050	610.9						
T	37.088390333	-80.771850564	653.3						
T	37.162207561	-80.747708354	676.1						
T	37.191386816	-80.744202221	620.5						
T	37.187166220	-80.758950879	748.1						
T	37.125765236	-80.795584372	639.5						
T	37.098990644	-80.801917453	637.8						
T	37.115916288	-80.794366850	648.0						
T	37.229211023	-80.751695243	589.6						
T	37.276242531	-80.742900694	584.8						
T	37.282010424	-80.742070749	622.2						
T	37.221362340	-80.768875685	720.1						
T	37.132144415	-80.789040197	655.7						
T	37.119707963	-80.789980718	624.2						
T	37.177728755	-80.760653447	580.8						
T	37.268972040	-80.727733059	575.3						
T	37.313558294	-80.717820448	591.4						
T	37.308890667	-80.728250745	590.6						
T	37.141803264	-80.792605889	764.0						
T	37.071693554	-80.803128649	647.6						
T	37.060116776	-80.800429421	646.4						
T	37.136235817	-80.763760329	634.4						
T	37.219669141	-80.743084702	581.2						
T	37.241453143	-80.760628033	677.2						
T	37.226060718	-80.816802203	864.3						
T	37.198969763	-80.847868041	763.3						
T	37.178447900	-80.848744093	669.5						
T	37.149101462	-80.779832221	786.5						
T	37.154112083	-80.694892952	615.3						
T	37.159465387	-80.677834092	598.1						
T	37.181794407	-80.730685144	704.3						
T	37.202846783	-80.806550871	656.2						
T	37.208274775	-80.826209226	699.4						
T	37.222447454	-80.803539613	860.1						
T	37.258981007	-80.716427495	557.6						
T	37.263746474	-80.621934129	723.1						
T	37.219283949	-80.587381115	597.5						
T	37.154332292	-80.590615684	592.1						
T	37.056989973	-80.604958030	591.4						
T	37.016230518	-80.589285603	642.1						
T	37.070740244	-80.486749380	632.8						
T	37.150086467	-80.391106083	639.2						
T	37.184748940	-80.338221107	521.4						
T	37.128516656	-80.355315528	635.4						
T	37.027858819	-80.399969182	695.3						
T	36.998227272	-80.408680931	676.6						
T	37.010299788	-80.396030725	648.6						
T	37.092165797	-80.348875913	619.0						
T	37.101639244	-80.350108301	508.7						
T	37.037412738	-80.408361975	718.4						
T	37.013531148	-80.426634169	633.8						
T	37.075316951	-80.391479036	662.9						
T	37.167353179	-80.329212291	564.2						
T	37.181776930	-80.318452433	551.1						
T	37.142292758	-80.336364825	660.4						
T	37.071440941	-80.370591648	786.1						
T	37.065484456	-80.370123613	806.2						
T	37.096027518	-80.338711952	610.3						
T	37.155324483	-80.287338041	623.3						
T	37.030932320	-80.369597987	709.1						
T	36.969176264	-80.410503959	755.5						
T	36.962040158	-80.415636079	745.1						
T	37.102097188	-80.335483387	490.4						
T	37.183389773	-80.282794727	534.2						
T	37.202361342	-80.274652423	527.1						
T	37.130000256	-80.328118901	587.8						
T	37.074852571	-80.354766162	783.7						
T	37.078247501	-80.344840348	785.5						
T	37.155916985	-80.269698081	572.5						
T	37.167887758	-80.258857160	435.9						
T	37.100371193	-80.306853573	612.0						
T	37.017478352	-80.360898536	741.0						
T	36.999531978	-80.369873813	705.8						
T	37.036347497	-80.352722929	707.0						
T	37.152970604	-80.283939262	525.8						
T	37.190118128	-80.272838176	588.3						
T	37.128534933	-80.352860371	645.6						
T	37.026400269	-80.437100322	727.2						
T	36.986516641	-80.468441048	666.9						
T	37.077631352	-80.435267929	618.9						
T	37.182999526	-80.380173964	598.9						
T	37.193841160	-80.377745203	501.7						
T	37.123396016	-80.436548897	675.6						
T	37.104939923	-80.446419522	653.2						
T	37.088163079	-80.455989716	645.3						
T	37.113507240	-80.442162337	653.1						
T	37.144768287	-80.420085882	644.6						
T	37.235136907	-80.362969614	463.1						
T	37.253492398	-80.351750354	477.1						
T	37.275623093	-80.336038376	670.6						
T	37.159024352	-80.427576779	632.0						
T	37.066037191	-80.485804064	614.2						
T	37.055607032	-80.495726293	593.1						
T	37.121194985	-80.473270628	609.1						
T	37.246749952	-80.415335296	661.3						
T	37.276759516	-80.407554779	649.4						
T	37.259449663	-80.432686627	607.5						
T	37.123744716	-80.518296551	575.7						
T	37.075558676	-80.538776980	601.5						
T	37.096798776	-80.520327405	669.0						
T	37.225997051	-80.438985885	633.3						
T	37.274154213	-80.417020925	636.0						
T	37.216431866	-80.470490953	621.5						
T	37.088378928	-80.550494360	609.0						
T	37.066343531	-80.561409148	608.6						
T	37.053721339	-80.568533375	591.4						
T	37.046713686	-80.570889121	591.7						
T	37.147861151	-80.517547802	620.2						
T	37.259725475	-80.462958603	763.5						
T	37.281499318	-80.461614709	680.6						
T	37.220799211	-80.515301635	569.0						
T	37.133994024	-80.562178615	607.4						
T	37.122907671	-80.565906777	584.5						
T	37.155762396	-80.537185446	526.2						
T	37.244743908	-80.482025230	702.0						
T	37.261308920	-80.481256431	674.1						
T	37.185971187	-80.565650211	561.3						
T	37.085112354	-80.634144671	621.9						
T	37.026556885	-80.666750773	568.6						
T	37.056940754	-80.660188363	584.0						
T	37.216513138	-80.589928333	594.4						
T	37.323516409	-80.544748547	736.6						
T	37.334073838	-80.544619756	1041.1						
T	37.250423884	-80.612468912	537.6						
T	37.108968240	-80.680965029	630.0						
T	37.078929560	-80.691038210	624.7						
T	37.110213632	-80.676196834	623.4						
T	37.188379371	-80.644079258	577.4						
T	37.301033289	-80.601424859	541.5						
T	37.319424451	-80.601695922	615.4						
T	37.236343006	-80.657543329	669.1						
T	37.131198821	-80.700702539	642.7						
T	37.115047153	-80.701981202	648.9						
T	37.210090990	-80.647480977	696.6						
T	37.284544452	-80.619814430	510.9						
T	37.297844585	-80.617454387	491.5						
T	37.309070952	-80.621771804	548.0						
T	37.209902885	-80.692161099	736.7						
T	37.147453440	-80.717923202	607.4						
T	37.253094658	-80.670137869	602.5						
T	37.270098696	-80.663062908	618.6						
T	37.289384407	-80.659974267	633.0						
T	37.261611112	-80.682405301	580.1						
T	37.213649816	-80.707748707	673.4						
T	37.228898695	-80.698625052	591.5						
T	37.273219461	-80.671159663	600.7						
T	37.223405701	-80.681414700	760.0						
T	37.102852527	-80.722815682	645.3						
T	37.087230206	-80.727472979	645.5						
T	37.142649631	-80.694125352	617.1						
T	37.169924977	-80.662158406	604.1						
T	37.133931405	-80.628478276	596.4						
T	37.112971703	-80.612062444	580.5						
T	37.117780654	-80.626765159	607.8						
T	37.125140480	-80.646531079	606.4						
T	37.155953580	-80.732223732	620.0						
T	37.171218493	-80.770024932	582.5						
T	37.173503567	-80.775248129	627.4						
T	37.163462514	-80.746576672	692.8						
T	37.119149376	-80.604891766	629.3						
T	37.082505873	-80.512405383	608.3						
T	37.077908636	-80.497092856	582.4						
T	37.110667648	-80.570804627	599.2						
T	37.141370277	-80.696504067	635.2						
T	37.152073332	-80.769071516	753.1						
T	37.151636979	-80.773923072	780.7						
T	37.135149073	-80.643256805	619.6						
T	37.126627622	-80.591573651	529.8						
T	37.101306159	-80.450295897	647.4						
T	37.085652993	-80.358166964	658.0						
T	37.091772840	-80.363390558	604.9						
T	37.126141258	-80.465659396	636.6						
T	37.156895978	-80.593127339	595.2						
T	37.196210722	-80.715513813	586.4						
T	37.214181180	-80.738738171	570.3						
T	37.213073413	-80.620681793	607.9						
T	37.176052331	-80.451343315	611.7						
T	37.160484579	-80.407499641	639.1						
T	37.160325391	-80.427471732	622.8						
T	37.197923326	-80.589766731	575.3						
T	37.237708805	-80.704441003	561.5						
T	37.256034194	-80.724070384	594.6						
T	37.274605424	-80.583819827	757.8						
T	37.239763217	-80.408105364	655.0						
T	37.214223122	-80.365312713	476.7						
T	37.220604516	-80.454810056	630.7						
T	37.228835626	-80.503427737	589.2						
T	37.259205500	-80.698065287	636.9						
T	37.286131064	-80.811306594	951.6						
T	37.302460432	-80.803923155	1007.7						
T	37.302635161	-80.604136596	507.3						
T	37.255220511	-80.418570527	654.7						
T	37.236116745	-80.378498920	583.8						
T	37.242370344	-80.467795259	584.9						
T	37.279914891	-80.634299030	573.1						
T	37.292512590	-80.665468960	627.1						
T	37.330758795	-80.723207643	571.3						
T	37.347917315	-80.672175388	661.1						
T	37.313008348	-80.489501638	600.4						
T	37.261001473	-80.408891797	655.5						
T	37.252395634	-80.414869516	660.3						
T	37.254230287	-80.471117945	743.5						
T	37.277015173	-80.609023914	534.4						
T	37.306171046	-80.674205998	565.8						
T	37.318427861	-80.653170937	546.0						
T	37.285545087	-80.478785984	760.3						
T	37.216575587	-80.353529939	477.8						
T	37.185962485	-80.327961919	517.5						
T	37.211155047	-80.392610480	658.4						
T	37.272627374	-80.528303900	708.4						
T	37.327222532	-80.620858903	597.0						
T	37.347497977	-80.632300864	702.9						
T	37.354863102	-80.529227219	1309.3						
T	37.345793457	-80.462068968	675.5						
T	37.318332297	-80.402643217	625.7						
T	37.317090528	-80.427204601	855.1						
T	37.343682937	-80.577349074	839.6						
T	37.374250673	-80.697112102	680.6						
T	37.393149226	-80.725042614	774.7						
T	37.392819646	-80.661693727	607.4						
T	37.346292153	-80.467507787	653.2						
T	37.295831764	-80.363072915	642.7						
T	37.270730826	-80.324610122	544.9						
T	37.279604330	-80.403334147	675.4						
T	37.286683493	-80.445371125	715.2						
T	37.314966447	-80.600280823	580.8						
T	37.336880169	-80.688109350	560.5						
T	37.251880638	-80.607264658	580.0						
T	37.162024124	-80.599418199	605.0						
T	37.112838772	-80.639962127	581.9						
T	37.088379966	-80.715603275	632.3						
T	37.087283190	-80.731071815	626.7						
T	37.088645228	-80.743185714	611.8						
T	37.088586101	-80.750354551	614.0						
T	37.089732670	-80.755255138	627.2						
T	37.081311641	-80.675708608	642.1						
T	37.056948989	-80.515636811	622.6						
T	37.024500020	-80.422226503	670.3						
T	37.017945697	-80.418205903	676.2						
T	37.035553859	-80.548847030	585.6						
T	37.063909135	-80.706562761	607.7						
T	37.090699522	-80.796068661	644.3						
T	37.096641782	-80.802825981	632.3						
T	37.067260883	-80.668976791	625.5						
T	37.050094272	-80.620047369	562.1						
T	36.992277662	-80.518937829	641.7						
T	36.969841488	-80.516336975	631.4						
T	36.966476024	-80.559879336	841.0						
T	36.969800605	-80.595501478	855.1						
T	36.985954407	-80.714050156	611.5						
T	37.014631587	-80.837926631	805.6						
T	37.047227050	-80.880512573	700.3						
T	37.064075743	-80.865729156	733.6						
T	37.078995728	-80.716043570	615.7						
T	37.050300275	-80.552149379	595.5						
T	37.024897248	-80.498271517	689.3						
T	37.020697462	-80.516852228	621.5						
T	37.039874613	-80.659330090	574.4						
T	37.077714003	-80.780157637	674.6						
T	37.105051954	-80.814787407	645.9						
T	37.126196562	-80.700345889	652.4						
T	37.104113483	-80.557533463	612.1						
T	37.096798890	-80.521529759	666.0						
T	37.073975436	-80.456936196	629.1						
T	37.071820647	-80.472475688	633.7						
T	37.099444601	-80.596107879	596.3						
T	37.133791610	-80.757371057	606.9						
T	37.166377694	-80.844379608	645.4						
T	37.177730337	-80.806811674	949.3						
T	37.156784854	-80.622964867	616.4						
T	37.099147060	-80.499792279	616.9						
T	37.077808401	-80.481637863	614.6						
T	37.071875597	-80.478396309	641.5						
T	37.081363086	-80.526746180	610.7						
T	37.172428863	-80.600822181	580.1						
T	37.199085832	-80.612679036	533.6						
T	37.275655849	-80.646089538	640.4						
T	37.284682784	-80.650433835	599.5						
T	37.277725716	-80.674049319	570.6						
T	37.164719242	-80.731714225	638.1						
T	37.128687148	-80.742143538	636.6						
T	37.062771782	-80.750115634	618.2						
T	37.054792666	-80.734049978	613.7						
T	37.145133373	-80.672051520	639.8						
T	37.164629638	-80.664393195	569.6						
T	37.197659048	-80.659688762	612.9						
T	37.157822876	-80.696373741	606.2						
T	37.068654392	-80.735340738	604.1						
T	37.061705054	-80.734694760	607.6						
T	37.132423398	-80.687294730	640.7						
T	37.179153815	-80.660092450	541.0						
T	37.195122131	-80.644341070	573.8						
