type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	37.092219920	-80.602010070	598.5						
T	37.171270265	-80.560696635	515.9						
T	37.240622968	-80.522527607	634.2						
T	37.277452308	-80.504326190	773.4						
T	37.286677603	-80.501318910	667.5						
T	37.265883947	-80.517910967	713.1						
T	37.214261540	-80.552704214	553.6						
T	37.139014601	-80.600317947	598.6						
T	37.080370518	-80.635170753	617.7						
T	37.045547820	-80.651444654	602.5						
T	37.036589633	-80.656848553	563.5						
T	37.115315693	-80.629120960	604.9						
T	37.171052969	-80.609571845	564.6						
T	37.220880350	-80.602844171	599.7						
T	37.229111069	-80.605559075	557.4						
T	37.207513454	-80.633321905	605.9						
T	37.149045503	-80.678462251	612.4						
T	37.123692307	-80.694063011	656.8						
T	37.106490836	-80.704988934	652.6						
T	37.095601555	-80.712589036	644.3						
T	37.088387314	-80.717997860	629.0						
T	37.177416772	-80.685133638	632.7						
T	37.255821687	-80.650599813	772.0						
T	37.321241939	-80.619361246	580.7						
T	37.339745750	-80.610180821	750.9						
T	37.356097261	-80.603575221	783.0						
T	37.334548743	-80.612834300	687.9						
T	37.271187739	-80.644594769	608.2						
T	37.194704027	-80.676035529	655.6						
T	37.132448269	-80.698337878	632.6						
T	37.101636933	-80.707039078	645.3						
T	37.093153757	-80.706391409	648.5						
T	37.102857121	-80.699893766	640.8						
T	37.177939655	-80.661299035	545.0						
T	37.205982863	-80.647316079	625.1						
T	37.267861893	-80.615439217	707.1						
T	37.302633692	-80.600106286	541.9						
T	37.310444990	-80.594822427	554.7						
T	37.248813874	-80.626802780	562.8						
T	37.222363138	-80.638947004	545.3						
T	37.146443903	-80.675834564	609.4						
T	37.121225739	-80.686583462	639.1						
T	37.094340271	-80.698075976	661.8						
T	37.089505779	-80.698925887	652.0						
T	37.104080989	-80.689117109	643.3						
T	37.147719156	-80.666010378	620.7						
T	37.172496840	-80.652247208	590.7						
T	37.241935759	-80.613595794	678.9						
T	37.283581721	-80.587859566	690.7						
T	37.294648457	-80.582599697	577.2						
T	37.299424446	-80.578601525	548.6						
T	37.263298253	-80.595618650	578.9						
T	37.222626837	-80.610611884	513.7						
T	37.123899900	-80.646480272	613.1						
T	37.100608810	-80.652754255	627.6						
T	37.072104992	-80.655030554	621.0						
T	37.062744715	-80.653408272	593.3						
T	37.050144453	-80.642292236	567.4						
T	37.051267161	-80.621251846	562.1						
T	37.091856004	-80.556444913	626.0						
T	37.117646765	-80.533080783	576.6						
T	37.182388297	-80.469856613	647.1						
T	37.260972728	-80.399690616	654.5						
T	37.273831828	-80.389271918	677.2						
T	37.282521268	-80.377810548	653.6						
T	37.198442950	-80.432063989	654.4						
T	37.151367198	-80.464143788	591.2						
T	37.080161443	-80.508912406	610.6						
T	37.020990626	-80.543301368	601.2						
T	36.984666593	-80.564225108	709.6						
T	36.977028393	-80.567624989	669.0						
T	36.972700592	-80.569871751	774.2						
T	37.003917559	-80.558421564	736.0						
T	37.058249439	-80.534408871	606.1						
T	37.102787937	-80.514117841	640.9						
T	37.121163070	-80.504970899	598.0						
T	37.143857879	-80.496689049	607.2						
T	37.150203204	-80.493943450	603.6						
T	37.160450605	-80.494742930	604.5						
T	37.163115477	-80.498367693	581.6						
T	37.163115477	-80.498367693	581.6						
T	37.161731855	-80.493441498	564.1						
T	37.169932473	-80.499325902	615.8						
T	37.177530664	-80.510351533	539.3						
T	37.178842045	-80.511565515	547.6						
T	37.163448129	-80.510821559	596.9						
T	37.150401974	-80.511274132	552.0						
T	37.181105303	-80.480006348	649.4						
T	37.239832500	-80.434106737	633.1						
T	37.307057888	-80.382139418	842.5						
T	37.323859286	-80.365389707	547.3						
T	37.223209636	-80.434029146	620.6						
T	37.123631201	-80.496332164	613.7						
T	37.089549599	-80.516954551	625.0						
T	37.060542049	-80.534357948	592.2						
T	37.041162413	-80.545273488	567.9						
T	37.021815330	-80.558259231	584.5						
T	37.082547438	-80.535063503	647.2						
T	37.159177819	-80.497287050	561.1						
T	37.231618652	-80.460595232	604.1						
T	37.260094745	-80.443210621	604.5						
T	37.290846617	-80.430430883	780.1						
T	37.297283917	-80.429920460	708.8						
T	37.268034239	-80.461181194	813.2						
T	37.220684454	-80.499861151	592.1						
T	37.188250358	-80.521366008	521.5						
T	37.146781493	-80.544784675	591.1						
T	37.114287316	-80.564727051	591.9						
T	37.069838163	-80.583883773	626.2						
T	37.059379230	-80.586173094	606.8						
T	37.053506702	-80.587300290	615.1						
T	37.113946938	-80.530735982	594.6						
T	37.141353881	-80.509122993	604.6						
T	37.175978185	-80.480257409	570.4						
T	37.210862660	-80.454153840	623.3						
T	37.256655623	-80.413205491	692.4						
