type	latitude	longitude	altitude (ft)	name	desc	kml_folder
T	37.080938637	-79.696243318	793.2			
T	37.081071078	-79.751132632	1046.5			
T	37.076268437	-79.781637089	889.3			
T	37.076502527	-80.043766565	1331.4			
T	37.056806714	-79.781689010	943.1			
T	37.052157538	-79.982835854	1253.0			
T	37.027870826	-80.074175798	1391.2			
T	37.037506562	-79.891438776	991.6			
T	37.056908141	-79.842650429	954.2			
T	37.066776735	-80.055943078	1306.2			
T	37.061846960	-79.909693618	1152.5			
T	37.061737270	-79.818255075	872.9			
T	37.052100921	-79.891419870	1121.9			
T	37.042458930	-80.049834418	1337.4			
T	37.047266606	-79.927991937	1129.6			
T	37.061491362	-79.702413670	950.9			
T	37.047321227	-80.043747907	1275.7			
T	37.042431004	-80.128995915	2562.4			
T	37.047223569	-79.879237096	1094.4			
T	37.052135097	-79.934082318	1095.7			
T	37.061781563	-80.196061153	2522.4			
T	37.047096497	-80.232617405	2500.2			
T	37.037525001	-80.159451776	2554.1			
T	37.066741582	-79.958453258	1197.3			
T	37.056698345	-80.281421309	2460.9			
T	37.046553782	-80.415454710	2254.3			
T	37.037064306	-80.348350314	2400.0			
T	37.056617217	-80.311893718	2372.3			
T	37.080014170	-80.549842937	1948.8			
T	37.094451661	-80.580465127	1746.5			
T	37.104793601	-80.446298315	2150.9			
T	37.074593433	-80.653525075	1987.1			
T	37.158218939	-80.464934071	1926.7			
T	37.049932142	-80.708238533	1907.9			
T	37.225995659	-80.538639225	1851.7			
T	37.376694066	-80.551941260	3540.2			
T	37.098471651	-80.726980541	2081.6			
T	37.225556543	-80.624276644	1921.9			
T	37.386280603	-80.582682471	3202.6			
T	37.259261374	-80.685781540	1984.4			
T	37.107881850	-80.775907165	2133.7			
T	37.356791345	-80.643781788	2544.6			
T	37.376312887	-80.631690257	3894.6			
T	37.449238655	-80.638422686	2381.6			
T	37.215076058	-80.752454584	1911.4			
T	37.303047206	-80.686184845	1754.1			
T	37.541777158	-80.620874551	2280.4			
T	37.526995473	-80.657595850	1684.2			
T	37.634246985	-80.615545264	1944.7			
T	37.731575639	-80.616431697	2056.6			
T	37.746533574	-80.536521480	1647.9			
T	37.742348002	-80.308722457	2823.9			
T	37.698250429	-80.425369070	2473.7			
T	37.698774419	-80.216324624	1688.1			
T	37.693986426	-80.173290065	2486.4			
T	37.693869697	-80.234742333	2313.1			
T	37.693692520	-80.302325480	2975.8			
T	37.688708747	-80.345319649	2762.0			
T	37.683332298	-80.517544261	2086.2			
T	37.703588984	-80.240926723	2293.9			
T	37.713491940	-80.148760771	3072.6			
T	37.698345539	-80.388445544	2800.7			
T	37.693221484	-80.474552679	1955.1			
T	37.697932777	-80.517659917	1958.2			
T	37.732802308	-80.234894582	2167.8			
T	37.727537486	-80.394790250	2739.3			
T	37.712830390	-80.431619389	2328.8			
T	37.708395355	-80.265529113	2935.1			
T	37.688721237	-80.339168393	2761.9			
T	37.673622531	-80.511315593	2142.6			
T	37.664362607	-80.351327958	2557.3			
T	37.669674996	-80.160931244	2045.9			
T	37.664438161	-80.320598910	2487.2			
T	37.640126674	-80.314329409	2697.3			
T	37.630465607	-80.289727642	2378.8			
T	37.616382153	-79.902969580	1159.5			
T	37.606467155	-80.136213127	3524.7			
T	37.606215645	-80.265080116	2386.4			
T	37.567631160	-80.074791482	1629.4			
T	37.581952601	-79.694335001	2619.8			
T	37.548244878	-79.945981227	1403.6			
T	37.504393198	-80.062432059	1461.7			
T	37.499175302	-79.670167754	1647.9			
T	37.508766638	-79.627226080	1264.6			
T	37.275783451	-80.153973095	1319.6			
T	37.183280411	-80.214782938	1802.3			
T	37.280757742	-79.946141010	1002.3			
T	37.484600279	-79.676360168	2547.1			
T	37.207339657	-80.324762764	2405.6			
T	37.373157086	-79.976665633	1441.3			
T	37.441188431	-80.037863222	1702.4			
T	37.426591321	-80.068469267	2798.8			
T	37.314590763	-80.215155474	1730.8			
T	37.533644514	-79.988912688	2240.2			
T	37.538390349	-80.111522104	2325.8			
T	37.484769839	-80.209476202	1942.3			
T	37.470151318	-80.227818673	2673.2			
T	37.358258333	-80.258068469	1876.8			
T	37.519004207	-80.044068047	1690.2			
T	37.348670809	-80.190758855	2337.3			
T	37.543381174	-79.964383772	1647.2			
T	37.329295705	-80.141811395	1896.1			
T	37.368213493	-80.123503915	1838.7			
T	37.523886447	-80.025687355	1413.9			
T	37.329272045	-80.160155618	1741.5			
T	37.572565216	-80.013464688	1152.8			
T	37.324449038	-80.129576302	2962.2			
T	37.280655742	-80.147867233	1211.0			
T	37.577450951	-79.945970821	1912.1			
T	37.519047639	-79.970516295	1636.9			
T	37.499583694	-79.976644535	1355.9			
T	37.363432717	-79.982788183	1355.1			
T	37.562743568	-79.798707392	1507.7			
T	37.363299299	-79.799221183	1365.8			
T	37.382696052	-79.768572496	1506.1			
T	37.547520608	-79.565642590	2008.0			
T	37.333681696	-79.615781755	867.5			
T	37.454766403	-79.468027246	898.9			
T	37.561189784	-79.332144541	894.2			
T	37.279492377	-79.438620513	754.9			
T	37.235701980	-79.438936346	841.1			
T	37.478081158	-79.265410893	918.4			
T	37.400435935	-79.302945904	948.3			
T	37.381042664	-79.315371075	890.5			
T	37.274296146	-79.371366990	830.1			
T	37.521708149	-79.234248563	799.6			
T	37.541142633	-79.227895392	1150.1			
T	37.356610532	-79.297210703	876.9			
T	37.516947977	-79.252727483	851.0			
T	37.322984070	-79.377095954	769.4			
T	37.594655586	-79.221167004	1230.5			
T	37.356680622	-79.309459179	825.6			
T	37.545862601	-79.203261141	1558.7			
T	37.381143969	-79.333748996	798.8			
T	37.352049150	-79.352367344	814.1			
T	37.225970678	-79.439006567	834.6			
T	37.604568907	-79.251811476	890.5			
T	37.434424340	-79.290382262	890.0			
T	37.215638387	-79.322933503	742.1			
T	37.482187634	-79.142544705	810.7			
T	37.477152148	-79.118033718	916.9			
T	37.185722063	-79.207044226	830.3			
T	37.413561373	-79.075838554	561.3			
T	37.471746089	-79.044397120	680.6			
T	37.253304825	-79.126818016	895.8			
T	37.461962020	-79.038385349	586.6			
T	37.379441227	-79.070132860	667.6			
T	37.185598133	-79.188705035	805.0			
T	37.505964903	-79.062378707	829.9			
T	37.200157143	-79.182441251	762.8			
T	37.578679265	-79.018362420	664.8			
T	37.612723093	-79.011734009	702.7			
T	37.205349929	-79.231306727	687.0			
T	37.389795748	-79.155864469	734.2			
T	37.375895795	-79.266398397	821.5			
T	37.178618301	-79.982825636	1255.9			
T	37.159102176	-80.141430227	2636.7			
T	37.139323308	-79.696024731	940.7			
T	37.129973558	-80.110858269	2764.6			
T	37.066745925	-79.970643897	1177.9			
T	37.081084418	-79.757231028	990.6			
T	37.076496705	-80.098589178	2298.0			
T	37.057044065	-80.104651834	2430.7			
T	37.047075262	-79.781715000	989.6			
T	37.032694005	-79.970653821	1184.2			
T	37.066163201	-79.635314498	854.9			
T	37.071366339	-79.763357527	955.4			
T	37.047274069	-79.940179957	1168.6			
T	37.071067435	-79.647490852	847.6			
T	37.081000610	-79.720639118	879.4			
T	37.090960857	-80.202209340	1874.6			
T	37.120187746	-80.165714643	2665.5			
T	37.080324796	-80.482746090	2038.9			
T	37.090634258	-80.324212266	2020.6			
T	37.100002866	-80.427965351	2041.5			
T	37.084691506	-80.586490620	1990.8			
T	37.109705324	-80.434125324	2202.9			
T	37.128472120	-80.586819562	1792.9			
T	37.192289302	-80.459029712	2279.5			
T	37.465316100	-80.209409212	2456.1			
T	37.450697560	-80.227746554	2573.0			
T	37.177548743	-80.495562243	1834.9			
T	37.158724451	-80.318437982	1876.9			
T	37.460622210	-79.841869119	1239.9			
T	37.271035651	-79.988935435	975.8			
T	37.503752226	-79.572043820	2391.6			
T	37.426558582	-79.823564604	1577.9			
T	37.266171310	-79.982824901	1057.4			
T	37.454941179	-79.517116446	1828.2			
T	37.285628357	-79.988930898	1039.0			
T	37.392029910	-79.615533994	1011.7			
T	37.479222845	-79.504685511	1530.0			
T	37.309941533	-79.952233591	1070.1			
T	37.386909090	-79.535926456	817.9			
T	37.372861100	-79.719652090	946.9			
T	37.285268173	-79.695477263	1129.8			
T	37.294916962	-79.664869864	985.3			
T	37.440170318	-79.468129647	865.2			
T	37.441134473	-79.811280139	1344.9			
T	37.305076213	-79.946122352	1047.0			
T	37.426038280	-79.609259191	2882.9			
T	37.484277915	-79.566021614	3174.2			
T	37.358300800	-79.731937048	1660.5			
T	37.493933986	-79.541418123	3191.5			
T	37.523045175	-79.516678912	3109.7			
T	37.348505345	-79.701380396	1350.2			
T	37.329110588	-79.725912974	1151.1			
T	37.285456063	-79.787188201	1050.5			
T	37.426164810	-79.652129025	2067.2			
T	37.222326367	-79.860653209	987.2			
T	37.319091678	-79.615843733	941.5			
T	37.319013489	-79.591371723	920.1			
T	37.537384035	-79.442873940	1685.8			
T	37.576229126	-79.424160912	1789.1			
T	37.605346994	-79.405493082	854.1			
T	37.629651283	-79.399151327	2151.8			
T	37.663626627	-79.380432506	1818.6			
T	37.401500036	-79.535839554	948.1			
T	37.357814746	-79.560592255	866.2			
T	37.134442095	-79.689939794	946.2			
T	37.153852982	-79.671550964	811.9			
T	37.464258896	-79.412756914	879.8			
T	37.372160895	-79.493113411	893.4			
T	37.211968423	-79.585773895	811.3			
T	37.469209563	-79.431115762	1314.3			
T	37.707330744	-79.361615425	1142.4			
T	37.459805284	-79.517085361	1501.0			
T	37.081084418	-79.757231028	990.6			
T	37.061660042	-79.775579364	852.2			
T	37.071340027	-79.751162123	987.5			
T	37.464450243	-79.455681671	926.2			
T	37.585794906	-79.387221137	1004.4			
T	37.240958073	-79.530605183	839.5			
T	37.459245270	-79.382136761	1969.9			
T	37.488347903	-79.363492670	1475.9			
T	37.595198464	-79.319534948	1057.7			
T	37.240809699	-79.493923051	769.0			
T	37.216507553	-79.500188715	878.4			
T	37.565961232	-79.313668271	909.2			
T	37.396145968	-79.413273830	815.3			
T	37.124233819	-79.543503226	865.0			
T	37.410466484	-79.358013496	911.5			
T	37.604704238	-79.276409856	953.3			
T	37.347492741	-79.413639815	773.3			
T	37.095063841	-79.549774117	877.4			
T	37.526957379	-79.301759648	806.9			
T	37.396056692	-79.394893261	1026.0			
T	37.027232083	-79.635488361	790.0			
T	37.609672076	-79.294805134	992.1			
T	36.993513445	-79.763582463	977.7			
T	37.318795654	-79.530186444	1046.5			
T	37.377048705	-79.499211539	911.8			
T	37.279949065	-79.548735303	1141.9			
