type	latitude	longitude	altitude (ft)	name	desc	kml_folder
T	37.616389943	-80.001219381	1807.3			
T	37.645595312	-79.982802069	1675.6			
T	37.577287856	-80.123867727	1868.0			
T	37.367459024	-80.435588670	3282.6			
T	37.338138044	-80.472105957	2080.0			
T	37.206167393	-80.611875456	1722.5			
T	37.338662760	-80.319219165	1696.7			
T	37.367957249	-80.270349568	1620.1			
T	37.523863814	-80.050202482	1236.2			
T	37.387337542	-80.301049167	2935.2			
T	37.235883967	-80.502034256	2062.5			
T	37.231196726	-80.459255067	2002.5			
T	37.407074508	-80.141901043	1655.6			
T	37.538499857	-80.007308406	1381.6			
T	37.323669964	-80.441469463	2095.0			
T	37.230916043	-80.526447538	1789.2			
T	37.538511436	-79.988914288	1810.6			
T	37.596887429	-80.031892501	1912.6			
T	37.255388308	-80.489940181	2233.1			
T	37.353409077	-80.251929443	2695.4			
T	37.577451037	-79.988927529	1206.3			
T	37.450619701	-80.270656332	2585.6			
T	37.152032435	-80.721334004	1976.5			
T	37.455667919	-80.148095689	2988.0			
T	37.626130008	-79.988942487	1303.9			
T	37.309057055	-80.447497385	2599.2			
T	37.377681958	-80.270385204	1921.2			
T	37.694232907	-79.902882728	1547.2			
T	37.426164244	-80.331854899	2519.1			
T	37.333673668	-80.362023219	2131.0			
T	37.650395098	-79.847634968	1051.9			
T	37.518928686	-80.117612251	1646.0			
T	37.285077537	-80.349563815	2157.9			
T	37.635804607	-79.853805650	1124.8			
T	37.358081816	-80.331551403	3030.8			
T	37.231072527	-80.489790051	1955.5			
T	37.221446169	-80.465304917	1941.3			
T	37.236130933	-80.440960970	2114.6			
T	37.377837042	-80.190806610	1832.8			
T	37.407074508	-80.141901043	1655.6			
T	37.621244658	-79.896823517	1214.2			
T	37.626117402	-79.909101479	1324.3			
T	37.587173544	-80.007339635	1274.3			
T	37.572542212	-80.038000815	1612.6			
T	37.445813568	-80.239986646	2484.2			
T	37.426305435	-80.270562956	2510.2			
T	37.348301673	-80.349860002	3106.1			
T	37.441026452	-80.190945783	3351.8			
T	37.460513956	-80.160359548	2597.9			
T	37.616404908	-79.976660995	1119.6			
T	37.611484978	-80.038045261	3305.6			
T	37.523689074	-80.203474664	1894.4			
T	37.494470357	-80.227909085	1630.9			
T	37.577388880	-80.056408118	1465.3			
T	37.606641741	-80.013489884	2071.7			
T	37.504224847	-80.209543099	1596.5			
T	37.450568260	-80.295179465	2229.1			
T	37.436054096	-80.258340616	2421.5			
T	37.445824110	-80.233857654	2676.2			
T	37.592059604	-79.982795630	1217.2			
T	37.611478023	-80.044182938	3213.6			
T	37.450568260	-80.295179465	2229.1			
T	37.353219023	-80.331529845	2570.2			
T	37.377720127	-80.252012458	1527.9			
T	37.514149612	-80.031806209	1607.0			
T	37.538499857	-80.007308406	1381.6			
T	37.557984157	-79.976652783	1478.4			
T	37.582322093	-79.958243923	1472.5			
T	37.669903963	-79.902909989	1099.9			
T	37.665059238	-79.964367473	2333.4			
T	37.645575066	-80.007368291	2836.3			
